City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
559,Venado Tuerto,AR,-33.7456,-61.9688,44.76,43,1,2.91,clear sky
560,Peniche,PT,39.3558,-9.3811,66.29,94,92,12.73,overcast clouds
561,Kununurra,AU,-15.7667,128.7333,94.98,31,21,5.75,few clouds
562,Poso,ID,-1.3959,120.7524,86.59,55,34,6.22,scattered clouds
563,Chik,RU,54.9928,82.4311,74.95,41,0,6.71,clear sky
564,Buchanan,LR,5.8808,-10.0467,74.48,81,73,7.85,broken clouds
565,Salinopolis,BR,-0.6136,-47.3561,77.79,85,97,10.0,overcast clouds
566,Yining,CN,29.0361,114.5636,95.7,46,64,9.66,broken clouds
567,Opuwo,NA,-18.0607,13.84,61.38,23,0,5.17,clear sky
568,Gobo,JP,33.8833,135.15,85.23,64,11,7.47,few clouds
569,Huayang,CN,34.4155,109.9939,85.14,50,8,2.17,clear sky
570,Clyde River,CA,70.4692,-68.5914,41.23,87,100,2.3,overcast clouds
571,Westport,US,41.1415,-73.3579,80.1,90,0,4.61,clear sky
572,Shingu,JP,33.7333,135.9833,83.91,79,28,6.08,light rain
573,Jiangkou,CN,25.4872,119.1986,88.97,63,47,10.18,scattered clouds
574,Ekhabi,RU,53.5102,142.9671,60.98,80,85,18.01,overcast clouds
575,Selma,US,36.5708,-119.6121,91.45,53,100,3.44,overcast clouds
576,Chepareria,KE,1.3077,35.2039,61.84,92,99,1.83,light rain
577,Veraval,IN,20.9,70.3667,77.52,92,100,8.66,moderate rain
578,Nuuk,GL,64.1835,-51.7216,52.41,71,100,39.12,light snow
579,Baruun-Urt,MN,46.6806,113.2792,82.58,33,4,13.24,clear sky
580,Maragogi,BR,-9.0122,-35.2225,73.62,88,90,10.36,overcast clouds
581,Belousovka,KZ,50.1339,82.5239,72.45,46,90,4.47,overcast clouds
582,Kitimat,CA,54.0524,-128.6534,59.38,93,52,2.91,broken clouds
583,Gejiu,CN,23.306,103.1635,71.28,67,100,2.19,overcast clouds
584,Ferkessedougou,CI,9.6,-5.2,69.51,96,99,4.59,overcast clouds
585,Maicao,CO,11.3832,-72.2432,78.58,84,54,12.08,broken clouds
586,Pipri,IN,19.8,75.5333,82.98,74,75,5.75,haze
587,Qidong,CN,31.8128,121.6561,93.38,62,3,8.55,clear sky
588,Coahuayana,MX,18.7333,-103.6833,77.41,95,63,2.55,broken clouds
589,Gemena,CD,3.25,19.7667,72.03,93,90,2.89,overcast clouds
590,Guanica,PR,17.9716,-66.908,80.98,82,81,5.75,broken clouds
